ID da Pergunta;	ID da Resposta;	Quantidade de Comentarios;	Score;	ID do Autor;	Nome do Autor;	Reputacao do Autor;
61855464;	61856260;	0;	3;	5228202;	Cfun;	662;
61668647;	61675950;	2;	2;	403671;	Simon Mourier;	109654;
11087517;	11088732;	0;	5;	189198;	Trevor Sullivan;	17788;
61373052;	61377378;	2;	1;	9132707;	postanote;	7371;
42365824;	42365940;	0;	1;	68972;	Jcl;	22883;
527513;	527644;	6;	109;	57601;	Kosi2801;	19045;
55324363;	55324599;	0;	1;	2153777;	E235;	4918;
8505294;	8506768;	4;	69;	6920;	x0n;	45591;
61058811;	61058876;	0;	0;	5947043;	ADyson;	36221;
5360145;	5360217;	12;	68;	3534;	Robert Groves;	6794;
60949050;	60950291;	0;	0;	45375;	mklement0;	192957;
60890602;	60891088;	1;	0;	12269857;	Wasif Hasan;	2527;
60793551;	60794140;	1;	2;	9665021;	haldo;	6372;
60645691;	60652475;	2;	1;	45375;	mklement0;	192957;
60604617;	60604836;	2;	0;	4809839;	Tatiana;	359;
60531562;	60531795;	0;	2;	2169762;	Martin;	12103;
60288939;	60289757;	3;	3;	45375;	mklement0;	192957;
37200661;	37200775;	3;	3;	607470;	Elroy Flynn;	2226;
60160338;	60161663;	0;	1;	45375;	mklement0;	192957;
14266050;	14266144;	0;	2;	13688;	Adam Driscoll;	8776;
6765375;	6765570;	2;	65;	22211;	Joel B Fant;	22748;
25730978;	25731143;	4;	9;	3905079;	briantist;	36235;
51065861;	51071387;	0;	10;	5193262;	Wolfspirit;	208;
61526883;	61614152;	0;	0;	1990415;	ant;	723;
55535494;	55558845;	5;	1;	2843065;	zivkan;	5748;
60548292;	60548451;	0;	0;	5233410;	Nkosi;	164660;
54109762;	54119290;	4;	6;	1100248;	Volodymyr Bilyachat;	13298;
53729956;	54832978;	1;	19;	7425170;	Marcos Rodrigues;	306;
59160799;	59161072;	1;	4;	6317985;	Piotr Lazarczyk;	624;
60296728;	60297435;	8;	0;	1658906;	juunas;	33902;
59210696;	59466828;	0;	0;	1960519;	Ajit;	21;
59199894;	59200926;	0;	0;	120753;	Babak Naffas;	11184;
58855965;	58856418;	1;	2;	5233410;	Nkosi;	164660;
54944216;	54946761;	2;	0;	654031;	Chris Pratt;	191118;
55590928;	55598091;	11;	3;	5397642;	alsami;	4566;
55861993;	55870848;	3;	3;	1882;	Chris Patterson;	12328;
52040742;	52040818;	2;	9;	2630078;	Kirk Larkin;	44965;
51842808;	51853483;	0;	4;	5077196;	Yahya Hussein;	6481;
53793847;	53794326;	1;	8;	455493;	Tseng;	44912;
52347535;	52348155;	0;	11;	2630078;	Kirk Larkin;	44965;
57867758;	57873192;	4;	1;	11487196;	Tony Ngo;	11210;
54113641;	57789422;	0;	2;	2630078;	Kirk Larkin;	44965;
57753258;	57754748;	3;	2;	22656;	Jon Skeet;	1184090;
57515056;	57612471;	0;	1;	11933150;	tavk;	31;
57504377;	57507027;	1;	2;	2698119;	M&#233;toule;	6128;
57329909;	57330410;	1;	1;	654031;	Chris Pratt;	191118;
56889844;	56936398;	0;	1;	925222;	huMpty duMpty;	12883;
55797971;	55818219;	0;	1;	550314;	Chris F Carroll;	6206;
55175398;	55175869;	5;	4;	6814131;	khoroshevj;	807;
51152817;	51153166;	3;	7;	2835541;	Chris Pickford;	7066;
54107886;	54243337;	1;	10;	5233410;	Nkosi;	164660;
54217203;	54227620;	0;	0;	9848076;	Fy Z1K;	137;
54037636;	54038487;	2;	2;	1891133;	Max;	4359;
44243781;	44283075;	8;	2;	2505580;	Wolfsblvt;	894;
46415494;	46415576;	2;	5;	5728269;	heejae chang;	131;
43804765;	43805923;	2;	2;	1410281;	Tamas;	5620;
58476032;	58477684;	1;	2;	300908;	JoshVarty;	7391;
36894348;	36894736;	2;	4;	34397;	SLaks;	752494;
44198091;	44202615;	0;	3;	1410281;	Tamas;	5620;
37381699;	37396916;	0;	4;	972216;	Jason Malinowski;	14673;
36232935;	36233809;	0;	3;	6015036;	L33T;	284;
34747260;	34747613;	2;	16;	1864167;	Jeroen Vannevel;	39309;
8400248;	8400525;	1;	26;	36702;	Jb Evain;	16201;
43520784;	43521478;	1;	2;	41071;	svick;	199232;
61815236;	61818301;	1;	1;	1663001;	DavidG;	85689;
17154917;	17157016;	1;	6;	41071;	svick;	199232;
32780315;	32780433;	18;	432;	3627726;	Mitchell;	5026;
58154233;	58154438;	4;	2;	9213345;	Henke;	169;
27848576;	27848656;	2;	29;	22656;	Jon Skeet;	1184090;
33090499;	33095466;	0;	9;	300908;	JoshVarty;	7391;
21316952;	21317676;	1;	12;	2894974;	Konrad Kokosa;	15140;
61048374;	61270919;	2;	4;	12339804;	timur;	9543;
60166827;	61061131;	1;	2;	4813378;	Oscar Vicente Perez;	739;
45065206;	45327611;	3;	106;	6920109;	Alex;	1198;
60664034;	60697328;	0;	3;	10620317;	weichch;	5915;
45653203;	45721479;	2;	0;	5898705;	Jim Orcheson;	71;
53179930;	53196970;	1;	1;	5359302;	George Alexandria;	2517;
49304967;	49306025;	0;	3;	3850405;	Ogglas;	26875;
59883197;	59950331;	0;	1;	452845;	Eric Ouellet;	8651;
59754506;	59755002;	1;	0;	23354;	Marc Gravell;	865748;
59666864;	59669570;	2;	2;	4857601;	Jonathon Marolf;	1350;
59504994;	59505617;	0;	1;	138200;	Mitch;	17382;
46065777;	47697996;	1;	30;	6811012;	Jacek Blaszczynski;	2516;
23539872;	23543883;	5;	9;	34397;	SLaks;	752494;
48990875;	48991513;	3;	2;	34397;	SLaks;	752494;
59345203;	59346089;	1;	3;	4857601;	Jonathon Marolf;	1350;
59246357;	59296307;	3;	1;	9453080;	Ivan Garc&#237;a Topete;	624;
42471015;	42471339;	0;	5;	865982;	d--b;	4972;
37552426;	37553697;	1;	4;	155005;	m0sa;	9876;
5898988;	5920818;	5;	23;	23354;	Marc Gravell;	865748;
18269886;	18270091;	2;	18;	2311360;	Ehsan;	27185;
61746255;	61746365;	0;	3;	3094533;	Zohar Peled;	68521;
61551786;	61688049;	0;	1;	436450;	jira;	3483;
19668074;	61701034;	0;	1;	1200185;	Alternatex;	1189;
32635347;	32638302;	2;	8;	2514318;	Kento;	352;
26659819;	26661203;	0;	33;	23354;	Marc Gravell;	865748;
61443954;	61447950;	1;	0;	7380779;	Frenchy;	4532;
56190787;	56283802;	0;	2;	6678903;	dev8675309;	116;
61369012;	61376654;	2;	2;	8211528;	Hooman Bahreini;	8969;
9481678;	9481752;	3;	132;	23354;	Marc Gravell;	865748;
57742593;	57749046;	5;	-2;	6081549;	Megrez7;	935;
45971254;	45971356;	1;	2;	238650;	Maciej Jureczko;	1364;
54074638;	54076480;	0;	1;	5779732;	Amit Joshi;	10502;
61089625;	61130719;	1;	2;	1840823;	Casey Crookston;	8524;
60867305;	60867367;	4;	2;	23354;	Marc Gravell;	865748;
29539840;	39169364;	0;	3;	773704;	Deathstalker;	500;
60673230;	60673297;	2;	0;	23354;	Marc Gravell;	865748;
41200049;	41200218;	4;	7;	1260204;	Igor;	51270;
52418496;	52424032;	0;	4;	2651950;	KozhevnikovDmitry;	1400;
42957140;	42957944;	9;	19;	4009517;	Silas Reinagel;	3783;
23023534;	23062229;	2;	11;	1540859;	Sergio;	6612;
55536681;	55537175;	12;	11;	134204;	Panagiotis Kanavos;	74896;
32204808;	32205064;	1;	18;	871146;	Dean Ward;	4448;
12916091;	12948193;	0;	3;	23354;	Marc Gravell;	865748;
9897750;	9919473;	0;	9;	1028323;	Alex;	6975;
60559906;	60561032;	2;	2;	1028323;	Alex;	6975;
32007238;	32086329;	6;	3;	815073;	von v.;	14913;
60290407;	60290870;	3;	1;	27204;	gnud;	68794;
60180331;	60189594;	2;	2;	222434;	Jim;	4598;
60071677;	60076881;	9;	1;	7252182;	mm8;	116830;
60021282;	60055772;	0;	0;	8313331;	Mike;	77;
59979645;	59979678;	7;	2;	7250028;	Pashupati Khanal;	685;
25540793;	25545312;	9;	45;	23354;	Marc Gravell;	865748;
13956585;	13956656;	7;	11;	1195080;	Mike Perrenoud;	60698;
59702663;	59702704;	7;	1;	9071943;	Phong;	6829;
24090087;	24092073;	2;	2;	997661;	Dreamer;	3056;
37285072;	37285121;	0;	8;	22656;	Jon Skeet;	1184090;
8689505;	8704020;	1;	13;	36702;	Jb Evain;	16201;
29369264;	29369819;	0;	4;	613130;	xanatos;	95078;
25691865;	25701659;	1;	5;	17034;	Hans Passant;	839800;
22154780;	22177716;	1;	3;	1190066;	Rfilip;	257;
10612939;	10612973;	3;	4;	383710;	DaveShaw;	45518;
10187903;	10188168;	1;	6;	701054;	Avner Shahar-Kashtan;	12976;
9558953;	9558989;	3;	2;	76217;	dtb;	188808;
60409797;	60410161;	6;	3;	12467070;	camahe;	187;
60239684;	60248056;	1;	1;	5202563;	Ivan Stoev;	136029;
60004141;	60149619;	0;	0;	4613738;	Tom;	13;
59929924;	59938968;	2;	2;	5202563;	Ivan Stoev;	136029;
59639245;	59640492;	0;	1;	5928070;	TanvirArjel;	17354;
59269836;	59270816;	0;	0;	12512355;	Angle;	11;
59210735;	59216216;	0;	0;	1538384;	Doc;	3527;
59165185;	59190429;	0;	0;	10521739;	Allen Wu;	3999;
43518867;	43519078;	5;	3;	1663001;	DavidG;	85689;
57707468;	57709337;	1;	2;	5202563;	Ivan Stoev;	136029;
57660905;	57661070;	0;	1;	2929192;	tgralex;	644;
57330189;	57333141;	0;	5;	6661314;	Moien Tajik;	1719;
56983288;	57000064;	0;	0;	1766831;	Rick James;	91765;
51554107;	51613947;	0;	3;	3787557;	jsanalytics;	12060;
40101956;	40117848;	0;	8;	4258144;	James Willock;	1731;
17512428;	17520371;	1;	4;	27051;	lupus;	3823;
