ID da Pergunta;	ID da Resposta;	Quantidade de Comentarios;	Score;	ID do Autor;	Nome do Autor;	Reputacao do Autor;
34952572;	34952938;	1;	3;	615903;	Gluck;	2634;
53170592;	53289876;	1;	4;	3167364;	Glenn Watson;	1974;
41229903;	54936685;	0;	2;	4873542;	Niek Jannink;	699;
51631980;	51634844;	0;	1;	973342;	Maximus;	1275;
13949710;	13966747;	1;	27;	5728;	Ana Betts;	69142;
45990829;	45991987;	0;	10;	1832856;	AtinSkrita;	1093;
53847686;	53848906;	3;	2;	5984310;	Colt Bauman;	454;
53697552;	53697731;	4;	4;	3167364;	Glenn Watson;	1974;
25357303;	25366362;	4;	8;	5728;	Ana Betts;	69142;
51154150;	51154656;	4;	1;	7252182;	mm8;	116830;
51046152;	51084389;	0;	1;	8512394;	Luis;	278;
50999799;	51002182;	0;	1;	5984310;	Colt Bauman;	454;
6779024;	6782638;	10;	29;	5728;	Ana Betts;	69142;
26898381;	26911510;	0;	5;	213169;	Jon Comtois;	1724;
37812237;	37860385;	0;	8;	1108916;	pmbanka;	1709;
46211852;	47064583;	0;	1;	8512394;	Luis;	278;
25275565;	26068923;	4;	8;	17034;	Hans Passant;	839800;
57157807;	57197088;	0;	1;	11822326;	NeedMeds;	21;
61687504;	61740596;	3;	3;	8211528;	Hooman Bahreini;	8969;
52015731;	52015945;	0;	2;	7126039;	J&#252;rgen R&#246;hr;	549;
61820937;	61821152;	2;	3;	45967;	Mark Redman;	21206;
7054782;	7054846;	8;	34;	181965;	billinkc;	50746;
14955439;	14955500;	2;	3;	1280410;	Darren;	59766;
61341938;	61342904;	4;	2;	9974025;	cklimowski;	159;
55724638;	55729905;	4;	5;	11374421;	luckyjc;	66;
61727572;	61773137;	0;	0;	3555126;	Zechy;	21;
53332097;	53332152;	7;	19;	703163;	Jazb;	3368;
61473581;	61473730;	4;	3;	1410664;	Caius Jard;	28795;
45585509;	45585651;	7;	11;	993547;	Patrick Hofman;	138491;
36568533;	36569140;	2;	5;	6170890;	Nino;	5995;
42100254;	42108423;	0;	9;	592192;	ADringer;	2074;
36562243;	36562548;	3;	7;	563532;	Rob;	24249;
60833509;	60859131;	0;	1;	2975810;	rgvlee;	712;
30730937;	30732416;	5;	60;	718656;	Yannick Meeus;	4163;
60452790;	60461088;	0;	0;	2975810;	rgvlee;	712;
17367799;	17367984;	1;	7;	35241;	Rick Liddle;	2608;
13877227;	22771088;	2;	16;	3250330;	Neelima Reddy;	274;
58064363;	58075392;	0;	0;	517558;	Buda Gavril;	18500;
57809384;	57810637;	1;	1;	5233410;	Nkosi;	164660;
21309747;	21310109;	2;	56;	1631885;	Jonathon Choo;	624;
54272950;	56183389;	2;	1;	9279354;	jaspreet chahal;	4827;
9380010;	9381502;	14;	79;	29407;	Darin Dimitrov;	912971;
55786849;	56005174;	0;	1;	3092298;	Greg Burghardt;	12412;
54770443;	54771264;	1;	2;	4629442;	Josh Gust;	2325;
21115179;	21115780;	3;	75;	1199711;	Zabavsky;	11780;
17155536;	17155726;	1;	15;	713822;	Japple;	875;
53785543;	53787017;	1;	1;	8752965;	Jeshwel;	111;
53710685;	53715472;	0;	2;	5233410;	Nkosi;	164660;
53236279;	53241773;	0;	1;	371646;	Help123;	839;
53177698;	53227310;	1;	3;	1598421;	Chris.ZA;	699;
38736297;	38736766;	0;	7;	1525637;	Darjan Bogdan;	3330;
17095791;	17095870;	8;	31;	507793;	Matthew;	19731;
13406270;	13406458;	3;	33;	470005;	Sergey Berezovskiy;	204459;
59028605;	59028734;	3;	1;	4728685;	Pavel Anikhouski;	13820;
58647804;	60005427;	0;	1;	5852046;	Adam Sitnik;	534;
59422182;	60005250;	0;	1;	5852046;	Adam Sitnik;	534;
59143147;	60004956;	0;	3;	5852046;	Adam Sitnik;	534;
58972840;	58977199;	0;	1;	12354911;	Eldar;	4032;
42489457;	42492630;	2;	4;	184842;	AndreyAkinshin;	15934;
