ID da Pergunta;	ID da Resposta;	Quantidade de Comentarios;	Score;	ID do Autor;	Nome do Autor;	Reputacao do Autor;
39884402;	40849257;	0;	10;	905;	Keith;	122849;
40634933;	40636911;	2;	7;	122195;	thepirat000;	9701;
37461294;	40613928;	1;	1;	186483;	DougJones;	694;
58509238;	58509652;	1;	0;	5233410;	Nkosi;	164680;
53773837;	53863585;	0;	8;	1152015;	JPThorne;	540;
58565097;	59138338;	3;	1;	8639444;	Sharku;	847;
43998994;	44005712;	0;	2;	2979430;	bto.rdz;	5984;
42112933;	42113163;	0;	1;	7167572;	Tatranskymedved;	2758;
50968171;	51209222;	0;	0;	3876995;	Miro;	105;
47984290;	47984342;	3;	2;	335858;	dasblinkenlight;	649474;
40906201;	40909737;	4;	1;	181711;	Kevin Ross;	6991;
60174517;	60186417;	0;	0;	1025407;	SuperJMN;	8532;
59155987;	59169613;	2;	1;	12395033;	theconfusedone2;	35;
58612052;	58612187;	5;	1;	5409;	Rik;	25645;
56399364;	56623494;	0;	0;	14451;	Bennor McCarthy;	10211;
54183008;	55208150;	0;	2;	3813976;	Sergio0694;	3780;
43315934;	43320250;	0;	13;	6866139;	RikudouSennin;	513;
61880444;	61895797;	0;	2;	3191599;	Nate Barbettini;	38735;
44237105;	45380277;	0;	12;	6841027;	Skyler Nesheim;	136;
30675564;	30675715;	4;	8;	4268126;	ajliptak;	421;
41246614;	41257827;	8;	287;	1077309;	Sampath;	44138;
61856314;	61857077;	1;	1;	5202563;	Ivan Stoev;	136059;
61844060;	61848407;	1;	2;	5646143;	kebek;	1397;
49738934;	49739171;	3;	1;	6698483;	Anis ur Rehman;	86;
12780389;	12789660;	3;	48;	1337026;	Thousand;	5942;
29051931;	29053891;	2;	8;	392698;	C Tierney;	945;
61840257;	61841263;	4;	0;	1402237;	rekiem87;	1325;
61826133;	61826344;	2;	1;	5646143;	kebek;	1397;
61822034;	61826112;	0;	0;	5646143;	kebek;	1397;
61821988;	61822947;	0;	2;	9212040;	Arman Ebrahimpour;	1036;
2058487;	2058982;	2;	113;	86555;	Keith Barrows;	22222;
42596608;	42596737;	2;	6;	1280410;	Darren;	59766;
61341938;	61342904;	4;	2;	9974025;	cklimowski;	159;
61779357;	61781044;	3;	3;	3034273;	Xerillio;	926;
61775207;	61776141;	1;	2;	2304474;	J&#243;zef Podlecki;	2488;
58487605;	58488140;	9;	2;	9888221;	Marc Asmar;	1119;
58302163;	58304247;	4;	2;	592958;	phuzi;	6887;
45035754;	45056305;	3;	17;	8254354;	shkapo;	281;
61724976;	61727791;	0;	0;	1873380;	Tony;	917;
61700442;	61703156;	0;	3;	1398461;	kuldeep;	561;
