ID da Pergunta;	ID da Resposta;	Quantidade de Comentarios;	Score;	ID do Autor;	Nome do Autor;	Reputacao do Autor;
47375304;	47375706;	0;	6;	517852;	Mike Zboray;	35490;
47182506;	47217156;	0;	2;	8537987;	mbnx;	854;
12393503;	12644398;	3;	14;	205753;	Byron Sommardahl;	11653;
34006954;	34141842;	0;	9;	3644847;	C1rdec;	1355;
34563155;	34592341;	3;	8;	920384;	punker76;	12861;
22314763;	22861271;	2;	2;	920384;	punker76;	12861;
34436529;	34594830;	2;	3;	3787557;	jsanalytics;	12060;
25447323;	25450652;	0;	4;	1732567;	Vlad;	1709;
36752189;	36753964;	2;	3;	504757;	Maverik;	5303;
36147698;	36169095;	19;	2;	3787557;	jsanalytics;	12060;
21725420;	22119351;	3;	8;	920384;	punker76;	12861;
34362017;	34375537;	0;	1;	3787557;	jsanalytics;	12060;
29124602;	29146049;	1;	6;	920384;	punker76;	12861;
33661385;	33695882;	0;	2;	920384;	punker76;	12861;
33534001;	33554050;	0;	2;	1636374;	David;	615;
33311188;	33311365;	1;	3;	4322228;	kskyriacou;	3030;
33292197;	33310574;	0;	1;	1567269;	trueCamelType;	1782;
32413295;	32414686;	1;	19;	920384;	punker76;	12861;
31074662;	31078074;	0;	1;	1548472;	holroy;	2594;
30568292;	30569202;	1;	2;	123597;	Gimly;	4533;
25033364;	25285592;	1;	1;	555374;	Beachwalker;	6460;
25221055;	25247187;	0;	11;	1030576;	Anthony;	1362;
25145876;	25150697;	0;	1;	1090206;	Chris W.;	18889;
24763236;	24779585;	0;	0;	2712412;	Maric Slorat;	67;
17503721;	19746618;	0;	2;	2263199;	Amrykid;	54;
21367212;	21370338;	5;	10;	563228;	Aleksandar Toplek;	2296;
21362935;	21363309;	4;	21;	2998271;	har07;	80535;
20781976;	20789285;	1;	1;	400470;	Dusan;	376;
20324912;	20377501;	1;	14;	920384;	punker76;	12861;
17908145;	17908249;	2;	6;	2176945;	Anatoliy Nikolaev;	20011;
17774185;	17774344;	9;	7;	2176945;	Anatoliy Nikolaev;	20011;
13148987;	13150957;	2;	16;	137404;	Tolga E;	8648;
35278457;	35300034;	0;	1;	3917161;	J3soon;	2159;
59530358;	59530570;	7;	3;	940182;	oleksa;	1559;
25171606;	25172328;	0;	4;	1892179;	Theodoros Chatzigiannakis;	25958;
22564499;	22573124;	0;	5;	1596973;	craftworkgames;	7207;
58907976;	58909314;	0;	2;	11808788;	Charles;	1116;
57601996;	57776565;	4;	1;	10316640;	Strom;	3958;
19943247;	19945154;	0;	7;	2640017;	James Gould;	2472;
55777750;	55803720;	2;	2;	10316640;	Strom;	3958;
33136388;	33143865;	1;	7;	4836832;	Stefan Agartsson;	391;
55447136;	55484974;	0;	1;	10316640;	Strom;	3958;
54470608;	54507174;	0;	0;	10997310;	Stehwahn;	11;
31957211;	42151979;	0;	1;	4778700;	ai_enabled;	26;
23305577;	23308404;	4;	10;	361899;	Aybe;	11266;
53997024;	54003184;	0;	1;	2281790;	Harald Coppoolse;	17964;
52904338;	53799214;	0;	5;	2355408;	uncle_scrooge;	268;
53694148;	53694227;	10;	2;	10761652;	The Headmaster;	101;
36886132;	36950789;	0;	1;	6260625;	Ijikahel;	31;
52627890;	52710083;	0;	1;	8540301;	Felipe Ramos;	109;
45688352;	45688459;	4;	2;	8460846;	M. Lenko;	38;
24559585;	24563800;	2;	2;	1596973;	craftworkgames;	7207;
59487095;	59527863;	2;	1;	188138;	Brad Irby;	1563;
59470524;	59471092;	0;	6;	635314;	Reuben Bond;	1451;
59327843;	59329119;	0;	3;	635314;	Reuben Bond;	1451;
55832345;	56876197;	0;	2;	212092;	Alexander Prooks;	128;
55087858;	55155460;	0;	1;	2709066;	seniorquico;	904;
55021791;	55032559;	0;	5;	98607;	Martin Liversage;	91553;
54456369;	54466045;	3;	5;	635314;	Reuben Bond;	1451;
51664117;	51664341;	3;	9;	635314;	Reuben Bond;	1451;
51527335;	51527660;	0;	3;	635314;	Reuben Bond;	1451;
48145496;	48183590;	0;	2;	3142741;	Arshia001;	1389;
34308179;	34315270;	4;	3;	1127363;	Gutemberg Ribeiro;	1441;
34620854;	34640849;	1;	2;	38461;	BozoJoe;	5068;
39837491;	39854592;	2;	7;	349014;	Richard Astbury;	2263;
28700767;	28860405;	0;	9;	1332416;	Veksi;	2596;
37683700;	37700721;	2;	6;	5549892;	S. Rangeley;	167;
37375451;	37583771;	0;	5;	5094836;	Gabi Kliot;	1062;
36460944;	36474288;	0;	4;	2755656;	lmagyar;	832;
31358131;	31363439;	1;	5;	635314;	Reuben Bond;	1451;
29442748;	29453349;	3;	2;	2755656;	lmagyar;	832;
26825822;	26852100;	2;	4;	2060075;	Todd Shelton;	56;
61614526;	61634788;	0;	1;	2291208;	Saeed Rahimi;	138;
52765570;	52768033;	1;	9;	1186957;	Richard;	864;
41524313;	41524338;	1;	6;	1922568;	Joe Audette;	24397;
57869407;	57870033;	8;	2;	1426685;	d_f;	3244;
48681426;	48685072;	2;	12;	3274800;	Scott Brady;	4494;
58136779;	58136780;	4;	10;	11776483;	Rob;	341;
35304038;	35306021;	13;	97;	1284637;	Nick De Beer;	4344;
44618235;	44627356;	5;	1;	3501052;	MJK;	2616;
59849734;	59897843;	3;	1;	15691;	Kirschstein;	12776;
47133282;	48838387;	0;	7;	269121;	hanzworld;	1067;
59638965;	59672926;	3;	5;	6152891;	enet;	12410;
51560548;	51637101;	0;	4;	2630078;	Kirk Larkin;	44965;
53976553;	53977681;	10;	6;	9073130;	Vidmantas Blazevicius;	3825;
41879515;	41879949;	5;	9;	3787796;	Lutando;	4531;
50019121;	52431780;	0;	1;	1186957;	Richard;	864;
41040702;	41163741;	5;	13;	1387545;	Kristian Barrett;	2871;
57783893;	57807508;	0;	0;	2043920;	hashbytes;	518;
53742136;	53769376;	0;	1;	2630078;	Kirk Larkin;	44965;
57065327;	57615021;	0;	1;	1807286;	snerting;	150;
56163695;	57510877;	0;	0;	1387545;	Kristian Barrett;	2871;
61260026;	61525244;	0;	1;	8330162;	B--rian;	3440;
60669289;	60669565;	2;	2;	2588539;	Xymanek;	1098;
59982748;	60246467;	0;	2;	8337109;	Adeel Siddiqui;	120;
59830468;	59942034;	0;	1;	11182;	Lex Li;	47994;
59766671;	59930797;	0;	0;	8330162;	B--rian;	3440;
45078893;	45079349;	0;	1;	1003243;	Harsh;	3365;
59736118;	59748083;	0;	0;	8330162;	B--rian;	3440;
38690850;	38693107;	0;	1;	4788169;	jtabuloc;	2182;
40277390;	41100280;	0;	56;	985107;	paul;	851;
59225251;	59228456;	1;	3;	2701156;	AminSojoudi;	1263;
52251508;	52400244;	0;	4;	1186957;	Richard;	864;
38367398;	55537502;	2;	23;	2780791;	Alexei;	14944;
30787584;	39023265;	0;	7;	894705;	1.44mb;	3234;
26501331;	26550348;	4;	6;	2393006;	Jerry;	1667;
50519489;	50521231;	1;	1;	7988960;	Rohit;	161;
57165947;	57215704;	2;	2;	6265620;	Edward;	17234;
51756040;	51766599;	1;	12;	9608718;	Alex Riabov;	5103;
57748867;	57951926;	1;	3;	4268340;	Pieter Alberts;	651;
55737503;	55752238;	0;	1;	2315112;	ErpaDerp;	381;
57435539;	57492352;	0;	1;	1236044;	jbl;	13494;
57394712;	57396553;	2;	4;	1236044;	jbl;	13494;
45485013;	45486432;	7;	3;	187365;	Fran;	5778;
50369573;	50505819;	1;	7;	5815327;	Deantwo;	704;
56771149;	56773066;	2;	0;	713752;	LucaSC;	417;
57131635;	57131773;	1;	1;	13302;	marc_s;	635760;
47617994;	47618058;	9;	43;	732221;	Martin Zikmund;	32068;
23823103;	23823151;	0;	65;	1915430;	Nilesh Gajare;	5463;
30024844;	30025231;	7;	3;	1287707;	JTMon;	3036;
40097229;	40097363;	0;	73;	4302070;	trashr0x;	5062;
35589240;	35589768;	5;	10;	null;	user3559349;	null;
30837478;	36136837;	8;	6;	6087049;	Rafael Louren&#231;o;	96;
34624034;	34624217;	19;	365;	40521;	Shyju;	185103;
27831597;	27831598;	8;	133;	1451569;	Ryan;	3092;
39328039;	39636481;	2;	0;	1138165;	Md. Tazbir Ur Rahman Bhuiyan;	1623;
15734390;	15735013;	1;	2;	61164;	Erik Funkenbusch;	88665;
31287090;	37279742;	1;	90;	2456110;	Ian;	1710;
44984943;	44984987;	0;	3;	1280410;	Darren;	59766;
60686193;	60686422;	1;	1;	4995012;	Fabjan;	12046;
61787101;	61787211;	5;	0;	65432;	Rosco;	745;
57684093;	57705878;	0;	18;	6265620;	Edward;	17234;
17511437;	17511457;	0;	22;	1837838;	sohaiby;	1028;
60414905;	60415802;	0;	0;	479251;	Pac0;	12034;
60887258;	61019825;	1;	2;	11179812;	Lixfeld;	201;
60552423;	60635918;	6;	2;	4838058;	Funk;	7538;
29100381;	35971952;	0;	11;	151562;	Kuroro;	1571;
32440637;	32458396;	1;	2;	1444246;	navule;	1040;
29508167;	29508168;	7;	8;	69455;	Gordon;	2320;
43749544;	43751933;	2;	5;	5380;	Kent Boogaart;	158924;
48824740;	48826981;	0;	0;	558239;	Andreas;	1162;
18852065;	19520407;	2;	1;	88513;	Oliver Weichhold;	9075;
56474276;	56475063;	3;	0;	3167364;	Glenn Watson;	1974;
34727584;	34729960;	6;	31;	1108916;	pmbanka;	1709;
24107209;	24111467;	7;	3;	5728;	Ana Betts;	69142;
55814081;	55814421;	3;	1;	7252182;	mm8;	116830;
55807509;	55808119;	1;	4;	7252182;	mm8;	116830;
55702875;	55710570;	1;	3;	7252182;	mm8;	116830;
52220671;	52286728;	0;	4;	5984310;	Colt Bauman;	454;
55301555;	55309609;	1;	1;	3167364;	Glenn Watson;	1974;
