ID da Pergunta;	ID da Resposta;	Quantidade de Comentarios;	Score;	ID do Autor;	Nome do Autor;	Reputacao do Autor;
40349233;	40349307;	2;	5;	2319407;	Dmitry Bychenko;	137797;
61711646;	61717847;	2;	1;	6599599;	rikush;	498;
61588247;	61592230;	0;	1;	201303;	Julian;	20871;
59018213;	59038842;	0;	1;	193178;	Rolf Kristensen;	9077;
61713960;	61714973;	2;	0;	201303;	Julian;	20871;
20352325;	20352745;	2;	43;	984106;	Alexander Burov;	718;
61608635;	61609991;	0;	0;	201303;	Julian;	20871;
61389804;	61394260;	2;	1;	193178;	Rolf Kristensen;	9077;
50527635;	50533462;	4;	0;	201303;	Julian;	20871;
45998883;	45999671;	2;	3;	201303;	Julian;	20871;
39268363;	39269711;	0;	5;	201303;	Julian;	20871;
32068788;	32069524;	0;	19;	617581;	Dirk Trilsbeek;	5203;
48693902;	61033574;	0;	0;	193178;	Rolf Kristensen;	9077;
57094140;	61033465;	0;	2;	193178;	Rolf Kristensen;	9077;
60235107;	60235506;	2;	1;	201303;	Julian;	20871;
36788754;	36789394;	3;	3;	971;	mathieu;	29085;
60721161;	60722399;	1;	1;	193178;	Rolf Kristensen;	9077;
58829416;	58844775;	3;	3;	193178;	Rolf Kristensen;	9077;
60646823;	60647380;	5;	1;	3667792;	TemaTre;	1009;
60342421;	60342744;	0;	2;	201303;	Julian;	20871;
7887909;	7890611;	1;	7;	125439;	wageoghe;	25606;
60325753;	60326703;	1;	3;	201303;	Julian;	20871;
46565639;	46582862;	1;	3;	940182;	oleksa;	1559;
60211647;	60233005;	4;	1;	8901357;	Anthony T.;	227;
60200834;	60201345;	3;	1;	1643676;	Athanasios Kataras;	12313;
60047575;	60063316;	2;	1;	193178;	Rolf Kristensen;	9077;
59891487;	59891702;	0;	1;	1643676;	Athanasios Kataras;	12313;
59825622;	59828414;	2;	2;	193178;	Rolf Kristensen;	9077;
59825887;	59828340;	0;	1;	193178;	Rolf Kristensen;	9077;
50165574;	50196228;	0;	-1;	1693475;	phantomraa;	840;
61071495;	61845025;	0;	0;	13243808;	SantiagoSR;	11;
48432846;	52556347;	0;	2;	1253921;	Mike Darwish;	2680;
61741073;	61742656;	7;	0;	10768653;	Leo Zhu - MSFT;	7460;
61673290;	61678465;	7;	1;	10627299;	Leon Lu - MSFT;	4715;
52522840;	61594166;	0;	0;	10419935;	HanI Gerges;	37;
35042013;	35044692;	1;	3;	1137604;	Paul;	1125;
61463438;	61473854;	0;	0;	11850033;	Wendy Zang - MSFT;	2221;
59628752;	59629680;	0;	1;	8187800;	Cole Xia - MSFT;	7546;
61413109;	61418141;	2;	1;	11104068;	Saamer;	2771;
49009155;	49024454;	2;	2;	5610850;	Elvis Xia - MSFT;	10073;
61318610;	61319437;	2;	1;	4321730;	S&#252;meyya Tuğ&#231;e Arar;	498;
47417015;	47417236;	1;	24;	7274584;	cvanbeek;	1420;
37551576;	37551969;	2;	24;	1338;	Jason;	63852;
35906952;	35929130;	1;	1;	3908547;	Greg Whatley;	896;
35557411;	35560532;	3;	6;	716752;	supertopi;	3289;
57853636;	57856612;	1;	3;	415661;	Shlomo;	11767;
57284908;	57389758;	1;	2;	3703372;	Felix Keil;	1878;
57338194;	57338763;	9;	0;	6150264;	Alex Pshul;	656;
34727584;	34729960;	6;	31;	1108916;	pmbanka;	1709;
55956861;	56347196;	0;	2;	1237491;	Dmitry Dovgopoly;	5685;
55520720;	55568104;	0;	2;	802116;	Asti;	10875;
55291422;	55293543;	3;	3;	10651558;	Ushmi Dave;	246;
55087858;	55155460;	0;	1;	2709066;	seniorquico;	904;
15675900;	15688255;	0;	2;	48692;	JerKimball;	15295;
54383894;	54393150;	1;	0;	7987488;	Vitali;	576;
4063353;	4063414;	0;	18;	324089;	Nick Martyshchenko;	4065;
15876957;	15900752;	2;	16;	393615;	Lee Campbell;	9541;
53152134;	53193641;	0;	2;	415661;	Shlomo;	11767;
53105245;	53106274;	2;	1;	492482;	batmaci;	4599;
14396449;	14460634;	13;	67;	393615;	Lee Campbell;	9541;
50177352;	50177619;	1;	7;	4552766;	Eugene Pawlik;	970;
6527598;	6527795;	0;	5;	407198;	Ash;	2130;
33249287;	33253738;	1;	5;	259769;	Enigmativity;	87559;
48853376;	48925505;	0;	1;	855432;	ghord;	9150;
1596158;	1950381;	2;	85;	91671;	LBushkin;	114980;
35629588;	35630070;	1;	2;	3016654;	Andrei Tătar;	5187;
48401819;	48436215;	1;	0;	161739;	Apostolis Bekiaris;	1130;
24843000;	24844934;	6;	18;	5728;	Ana Betts;	69142;
46895836;	46896132;	1;	2;	415661;	Shlomo;	11767;
46492665;	46633755;	0;	1;	377562;	gakera;	2731;
